E,J,e/f,State,v,Lambda,Sigma,L
41341.52368,13.5,f,2,2,0,0.5,8.0
43751.702445,13.5,f,2,3,0,0.5,8.0
45942.546386,13.5,f,2,4,0,0.5,8.0
47894.26552,13.5,f,2,5,0,0.5,8.0
49563.039111,13.5,f,2,6,0,0.5,8.0
50869.943941,13.5,f,2,7,0,0.5,8.0
38298.758951,13.5,e,2,1,0,-0.5,8.0
40938.460372,13.5,e,2,2,0,-0.5,8.0
43373.066699,13.5,e,2,3,0,-0.5,8.0
45591.828207,13.5,e,2,4,0,-0.5,8.0
47575.628966,13.5,e,2,5,0,-0.5,8.0
49273.520343,13.5,e,2,6,0,-0.5,8.0
49276.487981,13.5,e,2,7,0,-0.5,8.0
35914.812586,14.5,e,2,0,0,0.5,8.0
38728.349229,14.5,e,2,1,0,0.5,8.0
41344.359395,14.5,e,2,2,0,0.5,8.0
43754.371551,14.5,e,2,3,0,0.5,8.0
45944.311265,14.5,e,2,4,0,0.5,8.0
47895.315982,14.5,e,2,5,0,0.5,8.0
49564.948025,14.5,e,2,6,0,0.5,8.0
50871.659326,14.5,e,2,7,0,0.5,8.0
36393.246942,14.5,f,2,0,0,-0.5,8.0
39182.011698,14.5,f,2,1,0,-0.5,8.0
41772.74865,14.5,f,2,2,0,-0.5,8.0
44156.470863,14.5,f,2,3,0,-0.5,8.0
46319.979257,14.5,f,2,4,0,-0.5,8.0
48240.388225,14.5,f,2,5,0,-0.5,8.0
49867.683808,14.5,f,2,6,0,-0.5,8.0
51119.785405,14.5,f,2,7,0,-0.5,8.0
36902.960614,15.5,f,2,0,0,0.5,8.0
39665.178255,15.5,f,2,1,0,0.5,8.0
42228.770084,15.5,f,2,2,0,0.5,8.0
44584.130984,15.5,f,2,3,0,0.5,8.0
46716.077786,15.5,f,2,4,0,0.5,8.0
48601.173556,15.5,f,2,5,0,0.5,8.0
48606.551261,15.5,f,2,6,0,0.5,8.0
36396.539439,15.5,e,2,0,0,-0.5,8.0
39185.167982,15.5,e,2,1,0,-0.5,8.0
41775.765383,15.5,e,2,2,0,-0.5,8.0
44159.301912,15.5,e,2,3,0,-0.5,8.0
46322.063004,15.5,e,2,4,0,-0.5,8.0
48242.73707,15.5,e,2,5,0,-0.5,8.0
49869.939523,15.5,e,2,6,0,-0.5,8.0
51121.85272,15.5,e,2,7,0,-0.5,8.0
36906.444841,16.5,e,2,0,0,0.5,8.0
39668.517824,16.5,e,2,1,0,0.5,8.0
42231.957725,16.5,e,2,2,0,0.5,8.0
44587.099306,16.5,e,2,3,0,0.5,8.0
46719.941066,16.5,e,2,4,0,0.5,8.0
48607.409118,16.5,e,2,5,0,0.5,8.0
50189.040802,16.5,e,2,6,0,0.5,8.0
37440.119462,16.5,f,2,0,0,-0.5,8.0
40174.140323,16.5,f,2,1,0,-0.5,8.0
42708.819361,16.5,f,2,2,0,-0.5,8.0
45034.158866,16.5,f,2,3,0,-0.5,8.0
47134.337425,16.5,f,2,4,0,-0.5,8.0
48979.332353,16.5,f,2,5,0,-0.5,8.0
50517.314471,16.5,f,2,6,0,-0.5,8.0
38003.947059,17.5,f,2,0,0,0.5,8.0
40708.117762,17.5,f,2,1,0,0.5,8.0
43212.110685,17.5,f,2,2,0,0.5,8.0
45505.209584,17.5,f,2,3,0,0.5,8.0
47570.585806,17.5,f,2,4,0,0.5,8.0
